sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKExternalUUID
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-11 05:25:52 +0000,2023-09-11 05:25:52 +0000,kg,92.94999694824219,
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"iPhone14,3",,2023-09-11 05:25:52 +0000,2023-09-11 05:25:52 +0000,kg,92.94999694824219,02b76dae-bfe8-47a9-9cbe-bc755009dd1b
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-12 02:55:31 +0000,2023-09-12 02:55:31 +0000,kg,94.05000305175781,
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"iPhone14,3",,2023-09-12 02:55:31 +0000,2023-09-12 02:55:31 +0000,kg,94.05000305175781,ce209632-4a54-40b9-99f7-6540b6f976ce
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-12 03:12:20 +0000,2023-09-12 03:12:20 +0000,kg,94.25,
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"iPhone14,3",,2023-09-12 03:12:20 +0000,2023-09-12 03:12:20 +0000,kg,94.25,efa21142-8b1e-474c-8566-4876843188cf
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-16 08:27:32 +0000,2023-09-16 08:27:32 +0000,kg,93.9000015258789,
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"iPhone14,3",,2023-09-16 08:27:32 +0000,2023-09-16 08:27:32 +0000,kg,93.9000015258789,f217aa19-b67c-4701-8a76-cacbee19a362
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-17 06:58:22 +0000,2023-09-17 06:58:22 +0000,kg,93.19999694824219,
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"iPhone14,3",,2023-09-17 06:58:22 +0000,2023-09-17 06:58:22 +0000,kg,93.19999694824219,23467642-394d-4ee5-a4ff-7cbf32e38a83
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-18 05:25:48 +0000,2023-09-18 05:25:48 +0000,kg,93.6500015258789,
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"iPhone14,3",,2023-09-18 05:25:48 +0000,2023-09-18 05:25:48 +0000,kg,93.6500015258789,bbed2f16-0f2c-4d17-88de-ca33e18af535
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-19 05:17:04 +0000,2023-09-19 05:17:04 +0000,kg,94.5,
